2024-12-05 12:35:25.567; TRACE; INFO; http://localhost:8000/admin/slow; GET; 76d2d450-b13d-4a79-ba02-056cd31c16cf; user-2cfa0ef1; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:35:26.037; TRACE; INFO; http://localhost:8000/admin/slow; GET; ; ; 0:0:0:0:0:0:0:1; PC; 470; ;  
2024-12-05 12:35:26.048; SLOW; INFO; http://localhost:8000/admin/slow; GET; ; ; 0:0:0:0:0:0:0:1; PC; 470; ;  
2024-12-05 12:35:27.804; TRACE; INFO; http://localhost:8000/admin/trace?traceId=bb747cb1-7b58-4335-bb6e-27755b5880b4; GET; a6bd4b43-258d-4f4e-b19c-8c45b9f69c67; user-cd9c548e; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:35:27.856; TRACE; INFO; http://localhost:8000/admin/trace?traceId=bb747cb1-7b58-4335-bb6e-27755b5880b4; GET; ; ; 0:0:0:0:0:0:0:1; PC; 52; ;  
2024-12-05 12:35:27.867; SLOW; INFO; http://localhost:8000/admin/trace?traceId=bb747cb1-7b58-4335-bb6e-27755b5880b4; GET; ; ; 0:0:0:0:0:0:0:1; PC; 52; ;  
2024-12-05 12:35:37.796; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; bce5c093-f575-441a-baf9-53e56834fc8e; user-d72d812f; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:35:37.837; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 41; ;  
2024-12-05 12:35:37.850; SLOW; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 41; ;  
2024-12-05 12:36:29.465; TRACE; INFO; http://localhost:8000/admin/trace?traceId=bb747cb1-7b58-4335-bb6e-27755b5880b4; GET; 6e4bf62c-60ca-4bdc-b1a0-4fdc28685ee5; user-1f9c1ed7; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:36:29.503; TRACE; INFO; http://localhost:8000/admin/trace?traceId=bb747cb1-7b58-4335-bb6e-27755b5880b4; GET; ; ; 0:0:0:0:0:0:0:1; PC; 38; ;  
2024-12-05 12:36:29.517; SLOW; INFO; http://localhost:8000/admin/trace?traceId=bb747cb1-7b58-4335-bb6e-27755b5880b4; GET; ; ; 0:0:0:0:0:0:0:1; PC; 38; ;  
2024-12-05 12:36:36.111; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; dc712094-8dfb-448c-92aa-c85b7388c5c6; user-8b2709f1; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:36:36.145; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 34; ;  
2024-12-05 12:36:36.156; SLOW; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 34; ;  
2024-12-05 12:36:40.785; TRACE; INFO; http://localhost:8000/admin/trace?traceId=3aeb9cd5-22b6-498e-a964-e4b4a0e94e63; GET; d3311f29-97e4-495d-9427-855c4f727299; user-356f95e5; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:36:40.816; TRACE; INFO; http://localhost:8000/admin/trace?traceId=3aeb9cd5-22b6-498e-a964-e4b4a0e94e63; GET; ; ; 0:0:0:0:0:0:0:1; PC; 31; ;  
2024-12-05 12:36:40.829; SLOW; INFO; http://localhost:8000/admin/trace?traceId=3aeb9cd5-22b6-498e-a964-e4b4a0e94e63; GET; ; ; 0:0:0:0:0:0:0:1; PC; 31; ;  
2024-12-05 12:37:03.024; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; 98e42967-9ac4-4d88-be8c-b4a4dd68037c; user-d242733f; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:37:03.056; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 32; ;  
2024-12-05 12:37:03.066; SLOW; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 32; ;  
2024-12-05 12:39:38.686; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; b5cf0099-609d-4814-a38b-00ac7c0aca6f; user-1935c43a; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:39:38.759; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 73; ;  
2024-12-05 12:39:38.774; SLOW; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 73; ;  
2024-12-05 12:40:23.554; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; a07e8f5e-a0d6-4ce0-8ae1-31a11dbe7d60; user-bfd85001; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:40:23.603; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 49; ;  
2024-12-05 12:40:23.620; SLOW; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 49; ;  
2024-12-05 12:40:51.494; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; f9dd2a0f-ef9d-4fdc-8657-225f52bdf67b; user-a4541565; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:40:51.540; TRACE; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 46; ;  
2024-12-05 12:40:51.551; SLOW; INFO; http://localhost:8000/admin/trace?traceId=8940d934-397a-4ecb-b2b6-252926f3c2dc; GET; ; ; 0:0:0:0:0:0:0:1; PC; 46; ;  
2024-12-05 12:41:00.934; TRACE; INFO; http://localhost:8000/admin/trace?traceId=bb747cb1-7b58-4335-bb6e-27755b5880b4; GET; c437a10f-5dbd-4ff6-bf71-92e95a6569a5; user-8aec5ef4; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:41:00.963; TRACE; INFO; http://localhost:8000/admin/trace?traceId=bb747cb1-7b58-4335-bb6e-27755b5880b4; GET; ; ; 0:0:0:0:0:0:0:1; PC; 29; ;  
2024-12-05 12:41:00.973; SLOW; INFO; http://localhost:8000/admin/trace?traceId=bb747cb1-7b58-4335-bb6e-27755b5880b4; GET; ; ; 0:0:0:0:0:0:0:1; PC; 29; ;  
2024-12-05 12:41:15.170; TRACE; INFO; http://localhost:8000/admin/slow; GET; cfe34a7f-59b2-485f-bff0-cf609c2a0a2e; user-b87b078a; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-05 12:41:15.230; TRACE; INFO; http://localhost:8000/admin/slow; GET; ; ; 0:0:0:0:0:0:0:1; PC; 58; ;  
2024-12-05 12:41:15.243; SLOW; INFO; http://localhost:8000/admin/slow; GET; ; ; 0:0:0:0:0:0:0:1; PC; 58; ;  
2024-12-07 17:06:47.206; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
2024-12-07 17:07:47.587; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; 60384; ;  
2024-12-07 17:07:47.535; TRACE; INFO; http://localhost:8000/quitstart/item?id=1; GET; dad1aed0-95ec-4428-ac62-0d286d4f7167; user-1e2b89c7; 0:0:0:0:0:0:0:1; PC; ; ;  
2024-12-07 17:08:47.723; TRACE; INFO; com.example.neobns.service.QuickService; clearAllAccountCache; ; ; ; ; ; ;  
